Indicator,WhyItMatters
Total Learner Participation,Measures the overall scale of observed learning activity.
Age Group Participation,Shows which age groups participate most in digital learning.
Gender Participation,Provides a descriptive view of gender participation.
Course Category Demand,Identifies areas of strongest learning demand.
Course Level Demand,Shows demand across different learning difficulty levels.
Beginner Course Share,Measures demand for entry-level learning.
Advanced Course Share,Measures demand for advanced learning.
Average Enrollments Per Learner,Shows average learner engagement.
High Activity Learner Share,Identifies highly engaged learner segments.
Course Diversity,Shows how broadly learners explore different courses.
Enrollment Concentration,Shows whether enrollment is concentrated among a small group.
Monthly Enrollment Trend,Identifies periods of higher or lower enrollment activity.
