FindingID,ResearchQuestion,KeyFinding,Metric,Value,Percentage,Interpretation
1,Which age groups are most active?,The 26-35 age group recorded the highest number of enrollments.,Total Enrollments,4799.0,47.99,This age group represents the strongest enrollment participation within the EduPro learner population.
2,How do enrollment patterns differ by gender?,Female learners recorded the highest overall enrollment volume.,Enrollment Share,5078,50.78,The distribution provides a descriptive view of gender participation in course enrollment.
3,Which course categories are most preferred?,Data Science was the most preferred course category.,Enrollment Share,916,9.16,The category attracted the largest share of learner enrollments.
4,Which course levels are most popular?,Beginner courses received the highest number of enrollments.,Enrollment Share,3573,35.730000000000004,The result indicates the overall course difficulty level most commonly selected by learners.
5,Are beginner or advanced courses more popular?,Beginner courses accounted for the larger share among Beginner and Advanced enrollments.,Enrollment Share,Beginner,50.69523269012486,This comparison describes the relative demand for entry-level and advanced learning content.
6,How do course category preferences vary across age groups?,The 26-35 group showed the strongest preference for Data Science.,Age × Category Enrollments,459,9.564492602625547,"Course category preferences vary across learner age groups, highlighting differences in learning interests."
7,How does course level preference vary across age groups?,The 26-35 group showed the strongest preference for Beginner courses.,Age × Level Enrollments,1727,35.98666388831007,The cross-tabulation provides a descriptive understanding of learning difficulty preferences across age groups.
8,How is learner engagement distributed?,Very High Activity learners accounted for the largest enrollment volume.,Enrollment Share,6037,60.370000000000005,Enrollment activity is distributed across different learner engagement segments.
9,When is enrollment activity highest?,June 2025 recorded the highest enrollment volume.,Monthly Enrollments,899,,The monthly pattern indicates periods of relatively higher learner enrollment activity.
10,Which individual courses attract the highest enrollment?,Data Analysis with Python was the most enrolled course.,Course Enrollments,196,1.96,The course represents the highest observed enrollment demand among the courses in the dataset.
