CourseID,CourseName,Enrollments
CR00021,Data Analysis with Python,196
CR00058,Social Media Strategy,194
CR00025,Statistical Analysis,192
CR00048,AI Ethics,186
CR00023,Machine Learning Fundamentals,185
CR00042,Investment Strategies,183
CR00043,Corporate Finance,182
CR00010,3D Modeling,180
CR00035,Cyber Threat Intelligence,179
CR00007,UI/UX Design,178
CR00054,Backend Development with Node.js,178
CR00055,Full-Stack Web Development,178
CR00036,Agile Project Management,177
CR00019,Content Marketing,177
CR00022,Data Visualization,177
CR00040,Leadership in Projects,174
CR00050,Computer Vision,174
CR00003,C++ for Beginners,173
CR00012,Business Strategy,173
CR00045,Financial Modeling,172
CR00026,Intro to Machine Learning,172
CR00051,HTML & CSS,171
CR00014,Sales Mastery,171
CR00028,Deep Learning,171
CR00013,Finance for Startups,170
CR00030,Reinforcement Learning,169
CR00015,Leadership Essentials,168
CR00039,Project Planning,167
CR00033,Cybersecurity Fundamentals,167
CR00024,Big Data Analytics,166
CR00047,Natural Language Processing,166
CR00041,Financial Accounting,166
CR00005,Full Stack Development,166
CR00060,Content Creation,165
CR00001,Python Basics,164
CR00049,Deep Learning,163
CR00032,Ethical Hacking,163
CR00053,React for Beginners,163
CR00018,Social Media Marketing,163
CR00044,Personal Finance,161
CR00059,Affiliate Marketing,161
CR00031,Network Security,160
CR00008,Photoshop Mastery,158
CR00017,SEO Mastery,158
CR00038,Risk Management,158
CR00006,Graphic Design Basics,156
CR00020,Email Marketing,155
CR00029,Natural Language Processing,155
CR00009,Web Design Fundamentals,155
CR00004,Advanced Python,154
CR00052,JavaScript Mastery,154
CR00016,Digital Marketing,153
CR00037,Scrum Essentials,153
CR00027,Neural Networks,152
CR00011,Entrepreneurship 101,151
CR00034,Data Encryption,150
CR00002,Java Programming,149
CR00056,Google Ads Mastery,148
CR00046,AI for Beginners,140
CR00057,SEO for E-commerce,140
